"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2023 00:00 - 01.01.2023 00:15 (CET/CEST)","4377","3851","n/e","1719","2068","306","n/e","n/e","26","54","1699","1206","74","n/e","2461","187","103","0","736","2737","28583"
"Germany (DE)","01.01.2023 00:15 - 01.01.2023 00:30 (CET/CEST)","4365","3853","n/e","1718","2072","307","n/e","n/e","26","39","1774","1203","67","n/e","2459","187","103","0","735","2974","28633"
"Germany (DE)","01.01.2023 00:30 - 01.01.2023 00:45 (CET/CEST)","4361","3866","n/e","1728","2068","307","n/e","n/e","27","39","2185","1203","66","n/e","2460","187","103","0","739","3268","29209"
"Germany (DE)","01.01.2023 00:45 - 01.01.2023 01:00 (CET/CEST)","4357","3867","n/e","1722","2062","306","n/e","n/e","27","39","2076","1201","85","n/e","2458","187","103","0","731","3258","28417"
"Germany (DE)","01.01.2023 01:00 - 01.01.2023 01:15 (CET/CEST)","4341","3876","n/e","1565","2053","306","n/e","n/e","26","106","890","1202","59","n/e","2458","187","103","0","734","3142","29288"
"Germany (DE)","01.01.2023 01:15 - 01.01.2023 01:30 (CET/CEST)","4351","3863","n/e","1558","2056","306","n/e","n/e","26","180","1533","1201","18","n/e","2459","187","103","0","727","3594","29331"
"Germany (DE)","01.01.2023 01:30 - 01.01.2023 01:45 (CET/CEST)","4346","3870","n/e","1575","2055","306","n/e","n/e","26","202","2613","1200","14","n/e","2459","187","103","0","715","3775","29039"
"Germany (DE)","01.01.2023 01:45 - 01.01.2023 02:00 (CET/CEST)","4341","3857","n/e","1574","2044","306","n/e","n/e","26","202","3066","1199","18","n/e","2459","187","103","0","725","3833","29562"
"Germany (DE)","01.01.2023 02:00 - 01.01.2023 02:15 (CET/CEST)","4321","3852","n/e","1566","2039","305","n/e","n/e","26","165","3059","1197","36","n/e","2460","187","103","0","720","4039","28916"
"Germany (DE)","01.01.2023 02:15 - 01.01.2023 02:30 (CET/CEST)","4337","3868","n/e","1578","2036","306","n/e","n/e","26","163","3454","1200","22","n/e","2459","187","103","0","722","3868","29687"
"Germany (DE)","01.01.2023 02:30 - 01.01.2023 02:45 (CET/CEST)","4339","3871","n/e","1578","2032","306","n/e","n/e","26","163","3774","1199","24","n/e","2461","187","103","0","716","3745","29052"
"Germany (DE)","01.01.2023 02:45 - 01.01.2023 03:00 (CET/CEST)","4335","3850","n/e","1564","2030","306","n/e","n/e","26","163","4260","1200","16","n/e","2459","187","103","0","717","3717","29409"
"Germany (DE)","01.01.2023 03:00 - 01.01.2023 03:15 (CET/CEST)","4334","3879","n/e","1545","2036","306","n/e","n/e","26","161","4313","1199","38","n/e","2460","187","103","0","716","3628","27701"
"Germany (DE)","01.01.2023 03:15 - 01.01.2023 03:30 (CET/CEST)","4336","3858","n/e","1581","2039","306","n/e","n/e","26","161","4452","1197","21","n/e","2460","187","103","0","718","3545","27070"
"Germany (DE)","01.01.2023 03:30 - 01.01.2023 03:45 (CET/CEST)","4339","3858","n/e","1565","2038","306","n/e","n/e","26","161","4425","1196","21","n/e","2461","187","103","0","717","3506","26629"
"Germany (DE)","01.01.2023 03:45 - 01.01.2023 04:00 (CET/CEST)","4346","3864","n/e","1568","2035","306","n/e","n/e","26","161","4352","1195","30","n/e","2461","187","103","0","724","3174","26634"
