area,mtu,biomass_mwh,fossil_brown_coal_mwh,fossil_coal_derived_gas_mwh,fossil_gas_mwh,fossil_hard_coal_mwh,fossil_oil_mwh,fossil_oil_shale_mwh,fossil_peat_mwh,geothermal_mwh,hydro_pumped_storage_aggregated_mwh,hydro_pumped_storage_consumption_mwh,hydro_run_of_river_and_poundage_mwh,hydro_water_reservoir_mwh,marine_mwh,nuclear_mwh,other_mwh,other_renewable_mwh,solar_mwh,waste_mwh,wind_offshore_mwh,wind_onshore_mwh,date,hour,total_energy_generation_mwh
Germany (DE),01.01.2015 00:00 - 01.01.2015 00:15 (CET/CEST),3997.5,15687.25,0.0,1226.25,3219.75,176.5,0.0,0.0,10.0,913.75,588.0,1148.0,10.25,0.0,10710.5,4567.5,123.0,0.0,298.25,521.0,8849.75,20150101,00,50545.5
Germany (DE),01.01.2015 01:00 - 01.01.2015 01:15 (CET/CEST),3956.5,15321.75,0.0,870.75,2351.25,174.5,0.0,0.0,10.0,458.25,524.25,1127.25,60.75,0.0,11086.25,4596.25,112.5,0.0,295.0,520.75,9046.5,20150101,01,49530.0
Germany (DE),01.01.2015 02:00 - 01.01.2015 02:15 (CET/CEST),3991.75,14817.5,0.0,809.5,2227.0,172.75,0.0,0.0,10.0,271.25,1020.25,1119.0,20.25,0.0,11026.25,4713.75,83.0,0.0,288.25,519.0,9196.0,20150101,02,48994.0
Germany (DE),01.01.2015 03:00 - 01.01.2015 03:15 (CET/CEST),4009.75,14075.0,0.0,821.0,2339.75,173.25,0.0,0.0,10.5,169.5,1644.0,1115.75,6.75,0.0,11027.75,4740.25,76.0,0.0,303.5,522.5,9146.75,20150101,03,48368.5
Germany (DE),01.01.2015 04:00 - 01.01.2015 04:15 (CET/CEST),4006.0,14115.0,0.0,831.25,2461.5,174.25,0.0,0.0,10.5,123.5,2286.75,1110.75,1.25,0.0,10962.25,4726.5,76.0,0.0,303.0,524.25,9204.0,20150101,04,48506.5
Germany (DE),01.01.2015 05:00 - 01.01.2015 05:15 (CET/CEST),4002.25,13474.25,0.0,851.0,2217.75,175.0,0.0,0.0,10.75,123.5,2950.5,1106.25,1.5,0.0,10696.0,4757.0,76.0,0.0,297.75,524.0,9511.5,20150101,05,47701.0
Germany (DE),01.01.2015 06:00 - 01.01.2015 06:15 (CET/CEST),3988.75,12403.75,0.0,868.25,2373.25,174.75,0.0,0.0,11.0,11.75,3397.75,1105.0,6.75,0.0,10299.5,4817.75,76.0,0.0,293.5,526.0,10028.75,20150101,06,46973.0
Germany (DE),01.01.2015 07:00 - 01.01.2015 07:15 (CET/CEST),3981.0,12062.5,0.0,876.0,2491.0,174.75,0.0,0.0,11.0,2.25,3397.25,1101.0,12.75,0.0,10035.25,4820.25,76.0,0.0,299.0,525.5,10562.25,20150101,07,47028.25
Germany (DE),01.01.2015 08:00 - 01.01.2015 08:15 (CET/CEST),3982.0,12405.0,0.0,888.25,2530.25,174.5,0.0,0.0,11.0,2.25,3203.5,1100.25,7.25,0.0,10245.75,5064.25,76.0,53.0,287.75,530.25,10537.5,20150101,08,47893.0
Germany (DE),01.01.2015 09:00 - 01.01.2015 09:15 (CET/CEST),3999.5,12798.75,0.0,891.5,2386.25,174.0,0.0,0.0,9.75,3.5,2315.5,1109.0,12.0,0.0,10060.25,5552.0,76.0,773.25,291.0,532.5,10569.0,20150101,09,49234.75
Germany (DE),01.01.2015 10:00 - 01.01.2015 10:15 (CET/CEST),4000.75,12728.5,0.0,888.25,2557.0,174.75,0.0,0.0,6.0,41.75,1767.25,1115.5,6.5,0.0,10082.25,5731.5,76.0,2116.75,290.75,530.5,11023.0,20150101,10,51328.0
Germany (DE),01.01.2015 11:00 - 01.01.2015 11:15 (CET/CEST),4006.0,12451.0,0.0,876.5,2657.75,174.75,0.0,0.0,6.0,379.25,780.5,1124.5,21.75,0.0,9949.0,5561.5,76.0,3364.25,311.5,532.75,11559.5,20150101,11,52672.75
Germany (DE),01.01.2015 12:00 - 01.01.2015 12:15 (CET/CEST),4006.0,12464.5,0.0,874.25,2937.75,174.5,0.0,0.0,6.0,280.5,927.75,1127.0,12.75,0.0,10119.0,5412.25,76.0,4198.25,324.5,532.25,12153.5,20150101,12,54418.5
Germany (DE),01.01.2015 13:00 - 01.01.2015 13:15 (CET/CEST),4001.0,12417.75,0.0,883.5,2810.25,176.25,0.0,0.0,8.5,272.0,851.5,1121.5,6.5,0.0,10453.5,5443.25,76.0,3500.5,322.25,532.5,12468.5,20150101,13,54221.75
Germany (DE),01.01.2015 14:00 - 01.01.2015 14:15 (CET/CEST),4000.5,12621.5,0.0,890.25,2664.0,178.75,0.0,0.0,11.0,686.25,543.0,1118.5,36.25,0.0,10828.25,5476.25,76.0,2278.75,320.5,529.0,12186.25,20150101,14,53215.75
Germany (DE),01.01.2015 15:00 - 01.01.2015 15:15 (CET/CEST),3982.0,13387.25,0.0,969.25,2485.25,182.5,0.0,0.0,10.0,1369.0,215.0,1115.75,44.25,0.0,11069.75,5686.5,76.0,745.5,339.25,528.5,12342.25,20150101,15,52964.0
Germany (DE),01.01.2015 16:00 - 01.01.2015 16:15 (CET/CEST),3976.75,14679.0,0.0,1085.25,2668.75,183.25,0.0,0.0,6.0,1182.75,557.0,1112.75,33.0,0.0,11006.5,5601.75,76.0,50.0,294.0,528.75,13897.75,20150101,16,55199.5
Germany (DE),01.01.2015 17:00 - 01.01.2015 17:15 (CET/CEST),3966.0,14964.25,0.0,1193.75,2808.75,182.5,0.0,0.0,6.25,2306.75,316.5,1112.75,58.75,0.0,11057.5,5108.75,76.0,0.0,306.25,529.0,15761.0,20150101,17,57131.5
Germany (DE),01.01.2015 18:00 - 01.01.2015 18:15 (CET/CEST),3964.0,14286.0,0.0,1135.5,2690.25,182.5,0.0,0.0,10.0,1927.75,543.0,1111.75,56.75,0.0,10930.25,5221.25,76.0,0.0,333.25,528.5,17120.5,20150101,18,57646.5
Germany (DE),01.01.2015 19:00 - 01.01.2015 19:15 (CET/CEST),3959.25,13498.0,0.0,1123.75,2490.75,182.25,0.0,0.0,11.75,1737.25,356.0,1090.5,67.25,0.0,10861.75,5478.0,76.0,0.0,339.0,528.0,18105.75,20150101,19,57812.0
Germany (DE),01.01.2015 20:00 - 01.01.2015 20:15 (CET/CEST),3953.25,12366.0,0.0,1209.25,2440.0,182.5,0.0,0.0,12.0,1179.5,402.5,1091.5,76.75,0.0,10343.0,5466.75,76.0,0.0,345.0,526.75,19079.5,20150101,20,57168.25
Germany (DE),01.01.2015 21:00 - 01.01.2015 21:15 (CET/CEST),3934.25,11284.75,0.0,1205.75,2409.0,182.0,0.0,0.0,12.0,377.5,677.0,1088.75,97.75,0.0,9840.0,5705.5,76.0,0.0,336.25,525.75,20017.5,20150101,21,56715.25
Germany (DE),01.01.2015 22:00 - 01.01.2015 22:15 (CET/CEST),3944.5,10428.5,0.0,1324.25,2298.75,182.0,0.0,0.0,12.0,824.25,423.75,1095.5,74.75,0.0,9749.0,5707.0,76.0,0.0,328.75,524.0,20431.5,20150101,22,56176.5
Germany (DE),01.01.2015 23:00 - 01.01.2015 23:15 (CET/CEST),3941.25,9861.25,0.0,1212.75,2209.25,183.0,0.0,0.0,12.0,149.0,1146.75,1092.75,69.25,0.0,9045.75,5639.0,76.0,0.0,300.25,498.25,21305.0,20150101,23,55445.75
Germany (DE),02.01.2015 00:00 - 02.01.2015 00:15 (CET/CEST),3937.25,9035.5,0.0,1172.0,2225.5,181.75,0.0,0.0,12.0,71.5,2974.25,1086.25,35.75,0.0,8164.75,5430.75,76.0,0.0,498.5,306.75,21893.0,20150102,00,54055.75
Germany (DE),02.01.2015 01:00 - 02.01.2015 01:15 (CET/CEST),3925.0,9013.5,0.0,1127.75,2188.75,181.5,0.0,0.0,11.75,52.5,4548.75,1081.75,47.5,0.0,7147.75,5830.75,76.0,0.0,491.5,280.25,22640.5,20150102,01,54044.25
Germany (DE),02.01.2015 02:00 - 02.01.2015 02:15 (CET/CEST),3925.25,9018.5,0.0,1123.25,1974.5,181.75,0.0,0.0,11.75,62.0,4374.25,1076.75,47.5,0.0,6675.75,5336.25,76.0,0.0,488.75,286.25,23315.5,20150102,02,53537.75
Germany (DE),02.01.2015 03:00 - 02.01.2015 03:15 (CET/CEST),3930.25,8765.0,0.0,1120.25,1907.0,183.75,0.0,0.0,11.75,83.25,4301.75,1078.5,54.75,0.0,6466.75,5303.0,76.0,0.0,504.25,329.75,24119.0,20150102,03,53850.0
Germany (DE),02.01.2015 04:00 - 02.01.2015 04:15 (CET/CEST),3917.5,8398.25,0.0,1129.75,2098.75,183.5,0.0,0.0,12.0,68.5,4122.75,1074.0,48.25,0.0,6304.0,5459.5,76.0,0.0,502.75,339.5,24848.75,20150102,04,54392.5
